Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2025,133,7OT,1101,213
2025,133,7OT,1102,280
2025,133,7OT,1103,57
2025,133,7OT,1104,3
2025,133,7OT,1105,341
2025,133,7OT,1106,322
2025,133,7OT,1107,253
2025,133,7OT,1108,354
2025,133,7OT,1110,185
2025,133,7OT,1111,97
2025,133,7OT,1112,16
2025,133,7OT,1113,89
2025,133,7OT,1114,211
2025,133,7OT,1115,364
2025,133,7OT,1116,94
2025,133,7OT,1117,56
2025,133,7OT,1119,237
2025,133,7OT,1120,1
2025,133,7OT,1122,290
2025,133,7OT,1123,286
2025,133,7OT,1124,50
2025,133,7OT,1125,93
2025,133,7OT,1126,331
2025,133,7OT,1127,300
2025,133,7OT,1129,61
2025,133,7OT,1130,222
2025,133,7OT,1131,271
2025,133,7OT,1132,291
2025,133,7OT,1133,69
2025,133,7OT,1135,202
2025,133,7OT,1136,80
2025,133,7OT,1137,168
2025,133,7OT,1138,333
2025,133,7OT,1139,99
2025,133,7OT,1140,48
2025,133,7OT,1141,247
2025,133,7OT,1142,265
2025,133,7OT,1143,201
2025,133,7OT,1144,241
2025,133,7OT,1145,308
2025,133,7OT,1146,344
2025,133,7OT,1148,197
2025,133,7OT,1149,311
2025,133,7OT,1150,277
2025,133,7OT,1151,83
2025,133,7OT,1152,345
2025,133,7OT,1153,86
2025,133,7OT,1154,360
2025,133,7OT,1155,19
2025,133,7OT,1156,157
2025,133,7OT,1157,320
2025,133,7OT,1158,88
2025,133,7OT,1159,233
2025,133,7OT,1160,150
2025,133,7OT,1161,46
2025,133,7OT,1162,296
2025,133,7OT,1163,42
2025,133,7OT,1164,359
2025,133,7OT,1165,85
2025,133,7OT,1166,34
2025,133,7OT,1167,270
2025,133,7OT,1168,346
2025,133,7OT,1169,183
2025,133,7OT,1170,357
2025,133,7OT,1171,188
2025,133,7OT,1172,116
2025,133,7OT,1173,23
2025,133,7OT,1174,161
2025,133,7OT,1175,352
2025,133,7OT,1176,301
2025,133,7OT,1177,147
2025,133,7OT,1178,325
2025,133,7OT,1179,35
2025,133,7OT,1180,221
2025,133,7OT,1181,2
2025,133,7OT,1182,62
2025,133,7OT,1183,326
2025,133,7OT,1184,186
2025,133,7OT,1185,264
2025,133,7OT,1186,328
2025,133,7OT,1187,219
2025,133,7OT,1188,214
2025,133,7OT,1189,215
2025,133,7OT,1190,206
2025,133,7OT,1191,249
2025,133,7OT,1192,335
2025,133,7OT,1193,273
2025,133,7OT,1194,112
2025,133,7OT,1195,178
2025,133,7OT,1196,6
2025,133,7OT,1197,316
2025,133,7OT,1198,312
2025,133,7OT,1199,114
2025,133,7OT,1200,191
2025,133,7OT,1201,295
2025,133,7OT,1202,111
2025,133,7OT,1203,101
2025,133,7OT,1204,220
2025,133,7OT,1205,242
2025,133,7OT,1206,22
2025,133,7OT,1207,143
2025,133,7OT,1208,28
2025,133,7OT,1209,234
2025,133,7OT,1210,145
2025,133,7OT,1211,5
2025,133,7OT,1212,342
2025,133,7OT,1213,84
2025,133,7OT,1214,179
2025,133,7OT,1217,218
2025,133,7OT,1218,217
2025,133,7OT,1219,60
2025,133,7OT,1220,209
2025,133,7OT,1221,302
2025,133,7OT,1222,4
2025,133,7OT,1223,268
2025,133,7OT,1224,278
2025,133,7OT,1225,261
2025,133,7OT,1226,297
2025,133,7OT,1227,182
2025,133,7OT,1228,21
2025,133,7OT,1229,76
2025,133,7OT,1230,274
2025,133,7OT,1231,44
2025,133,7OT,1232,231
2025,133,7OT,1233,190
2025,133,7OT,1234,118
2025,133,7OT,1235,39
2025,133,7OT,1236,160
2025,133,7OT,1237,307
2025,133,7OT,1238,251
2025,133,7OT,1239,175
2025,133,7OT,1240,135
2025,133,7OT,1241,71
2025,133,7OT,1242,24
2025,133,7OT,1243,115
2025,133,7OT,1244,110
2025,133,7OT,1245,68
2025,133,7OT,1246,13
2025,133,7OT,1247,177
2025,133,7OT,1248,263
2025,133,7OT,1249,192
2025,133,7OT,1250,272
2025,133,7OT,1251,53
2025,133,7OT,1252,70
2025,133,7OT,1253,319
2025,133,7OT,1254,293
2025,133,7OT,1255,212
2025,133,7OT,1256,134
2025,133,7OT,1257,8
2025,133,7OT,1258,138
2025,133,7OT,1259,299
2025,133,7OT,1260,67
2025,133,7OT,1261,149
2025,133,7OT,1262,176
2025,133,7OT,1263,228
2025,133,7OT,1264,238
2025,133,7OT,1265,258
2025,133,7OT,1266,27
2025,133,7OT,1267,122
2025,133,7OT,1268,20
2025,133,7OT,1269,208
2025,133,7OT,1270,52
2025,133,7OT,1271,358
2025,133,7OT,1272,9
2025,133,7OT,1273,318
2025,133,7OT,1274,226
2025,133,7OT,1275,96
2025,133,7OT,1276,18
2025,133,7OT,1277,17
2025,133,7OT,1278,133
2025,133,7OT,1279,25
2025,133,7OT,1280,38
2025,133,7OT,1281,30
2025,133,7OT,1282,252
2025,133,7OT,1283,244
2025,133,7OT,1284,281
2025,133,7OT,1285,108
2025,133,7OT,1286,229
2025,133,7OT,1287,255
2025,133,7OT,1288,348
2025,133,7OT,1290,363
2025,133,7OT,1291,232
2025,133,7OT,1292,98
2025,133,7OT,1293,193
2025,133,7OT,1294,126
2025,133,7OT,1295,92
